Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,0.180000,0.180000,0.160000,0.160000,0.160000,7180000
2020-03-12,0.160000,0.160000,0.130000,0.140000,0.140000,6669700
2020-03-13,0.150000,0.150000,0.130000,0.140000,0.140000,4478400
2020-03-16,0.140000,0.140000,0.110000,0.120000,0.120000,5023400
2020-03-17,0.130000,0.140000,0.130000,0.130000,0.130000,4444000
2020-03-18,0.140000,0.150000,0.130000,0.130000,0.130000,8965500
2020-03-19,0.150000,0.150000,0.130000,0.150000,0.150000,15366500
2020-03-20,0.150000,0.150000,0.140000,0.140000,0.140000,6379300
2020-03-23,0.140000,0.170000,0.130000,0.140000,0.140000,23952600
2020-03-24,0.140000,0.150000,0.130000,0.140000,0.140000,9533300
2020-03-25,0.140000,0.160000,0.140000,0.150000,0.150000,21820400
2020-03-26,0.160000,0.160000,0.140000,0.150000,0.150000,8133800
2020-03-27,0.150000,0.180000,0.140000,0.160000,0.160000,31849400
2020-03-30,0.170000,0.180000,0.150000,0.160000,0.160000,14699300
2020-03-31,0.160000,0.190000,0.150000,0.180000,0.180000,25646800
